policy_gradient_wx.py:53: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor([state], dtype=torch.float).to(self.device)
Episode 489: Reward 113
Episode 490: Reward 200
Episode 491: Reward 200
Episode 492: Reward 143
Episode 493: Reward 172
Episode 494: Reward 169
Episode 495: Reward 145
Episode 496: Reward 101
Episode 497: Reward 200
Episode 498: Reward 200
Episode 499: Reward 200
Episode 500: Reward 159
Episode 501: Reward 200
Episode 502: Reward 166
Episode 503: Reward 200
Episode 504: Reward 200
Episode 505: Reward 123
Episode 506: Reward 178
Episode 507: Reward 200
Episode 508: Reward 119
Episode 509: Reward 139
Episode 510: Reward 200
Episode 511: Reward 200
Episode 512: Reward 200
Episode 513: Reward 200
Episode 514: Reward 200
Episode 515: Reward 200
Episode 516: Reward 200
Episode 517: Reward 200
Episode 518: Reward 200
Episode 519: Reward 200
Episode 520: Reward 200
Episode 521: Reward 200
Episode 522: Reward 200
Episode 523: Reward 200
Episode 524: Reward 162
Episode 525: Reward 200
Episode 526: Reward 200
Episode 527: Reward 200
Episode 528: Reward 200
Episode 529: Reward 200
Episode 530: Reward 200
Episode 531: Reward 200
Episode 532: Reward 200
Episode 533: Reward 200
Episode 534: Reward 200
Episode 535: Reward 200
Episode 536: Reward 200
Episode 537: Reward 200
Episode 538: Reward 200
Episode 539: Reward 200
Episode 540: Reward 200
Episode 541: Reward 200
Episode 542: Reward 200
Episode 543: Reward 200
Episode 544: Reward 200
Episode 545: Reward 107
Episode 546: Reward 200
Episode 547: Reward 200
Episode 548: Reward 200
Episode 549: Reward 184
Episode 550: Reward 200
Episode 551: Reward 200
Episode 552: Reward 200
Episode 553: Reward 169
Episode 554: Reward 200
Episode 555: Reward 198
Episode 556: Reward 200
Episode 557: Reward 189
Episode 558: Reward 200
Episode 559: Reward 157
Episode 560: Reward 199
Episode 561: Reward 135
Episode 562: Reward 100
Episode 563: Reward 157
Episode 564: Reward 179
Episode 565: Reward 200
