policy_gradient_wx.py:53: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor([state], dtype=torch.float).to(self.device)
Episode 917: Reward 200
Episode 918: Reward 200
Episode 919: Reward 200
Episode 920: Reward 200
Episode 921: Reward 112
Episode 922: Reward 200
Episode 923: Reward 200
Episode 924: Reward 200
Episode 925: Reward 200
Episode 926: Reward 200
Episode 927: Reward 200
Episode 928: Reward 200
Episode 929: Reward 200
Episode 930: Reward 200
Episode 931: Reward 200
Episode 932: Reward 200
Episode 933: Reward 200
Episode 934: Reward 200
Episode 935: Reward 200
Episode 936: Reward 200
Episode 937: Reward 200
Episode 938: Reward 200
Episode 939: Reward 200
Episode 940: Reward 200
Episode 941: Reward 200
Episode 942: Reward 200
Episode 943: Reward 200
Episode 944: Reward 181
Episode 945: Reward 200
Episode 946: Reward 200
Episode 947: Reward 200
Episode 948: Reward 200
Episode 949: Reward 200
Episode 950: Reward 200
Episode 951: Reward 200
Episode 952: Reward 200
Episode 953: Reward 123
Episode 954: Reward 200
Episode 955: Reward 200
Episode 956: Reward 200
Episode 957: Reward 200
Episode 958: Reward 200
Episode 959: Reward 200
Episode 960: Reward 200
Episode 961: Reward 200
Episode 962: Reward 200
Episode 963: Reward 200
Episode 964: Reward 200
Episode 965: Reward 200
Episode 966: Reward 200
Episode 967: Reward 200
Episode 968: Reward 200
Episode 969: Reward 200
Episode 970: Reward 200
Episode 971: Reward 200
Episode 972: Reward 200
Episode 973: Reward 200
Episode 974: Reward 200
Episode 975: Reward 200
Episode 976: Reward 200
Episode 977: Reward 200
Episode 978: Reward 200
Episode 979: Reward 200
Episode 980: Reward 200
Episode 981: Reward 200
Episode 982: Reward 200
Episode 983: Reward 200
Episode 984: Reward 200
Episode 985: Reward 200
Episode 986: Reward 200
Episode 987: Reward 200
Episode 988: Reward 200
Episode 989: Reward 200
Episode 990: Reward 200
Episode 991: Reward 200
Episode 992: Reward 200
Episode 993: Reward 200
Episode 994: Reward 200
Episode 995: Reward 200
Episode 996: Reward 200
Episode 997: Reward 200
Episode 998: Reward 200
Episode 999: Reward 200
Episode 1000: Reward 200
Episode 1001: Reward 200
Episode 1002: Reward 200
Episode 1003: Reward 151
Episode 1004: Reward 200
Episode 1005: Reward 200
Episode 1006: Reward 200
Episode 1007: Reward 200
Episode 1008: Reward 200
Episode 1009: Reward 200
Episode 1010: Reward 200
Episode 1011: Reward 200
Episode 1012: Reward 200
Episode 1013: Reward 200
Episode 1014: Reward 200
Episode 1015: Reward 200
Episode 1016: Reward 200
Episode 1017: Reward 200
Episode 1018: Reward 200
Episode 1019: Reward 200
Episode 1020: Reward 200
Episode 1021: Reward 200
Episode 1022: Reward 200
Episode 1023: Reward 200
Episode 1024: Reward 200
Episode 1025: Reward 200
Episode 1026: Reward 200
Episode 1027: Reward 200
Episode 1028: Reward 200
Episode 1029: Reward 200
Episode 1030: Reward 200
Episode 1031: Reward 200
Episode 1032: Reward 200
Episode 1033: Reward 200
Episode 1034: Reward 186
Episode 1035: Reward 200
Episode 1036: Reward 200
Episode 1037: Reward 200
Episode 1038: Reward 148
Episode 1039: Reward 181
Episode 1040: Reward 188
Episode 1041: Reward 200
Episode 1042: Reward 151
Episode 1043: Reward 200
Episode 1044: Reward 187
Episode 1045: Reward 167
Episode 1046: Reward 200
Episode 1047: Reward 137
Episode 1048: Reward 146
Episode 1049: Reward 133
Episode 1050: Reward 134
Episode 1051: Reward 173
Episode 1052: Reward 181
Episode 1053: Reward 146
Episode 1054: Reward 148
Episode 1055: Reward 126
Episode 1056: Reward 146
Episode 1057: Reward 124
Episode 1058: Reward 158
Episode 1059: Reward 130
Episode 1060: Reward 114
Episode 1061: Reward 132
Episode 1062: Reward 136
Episode 1063: Reward 149
Episode 1064: Reward 134
Episode 1065: Reward 94
Episode 1066: Reward 119
Episode 1067: Reward 128
Episode 1068: Reward 126
Episode 1069: Reward 45
Episode 1070: Reward 118
Episode 1071: Reward 82
Episode 1072: Reward 147
Episode 1073: Reward 132
Episode 1074: Reward 155
Episode 1075: Reward 147
Episode 1076: Reward 121
Episode 1077: Reward 105
Episode 1078: Reward 86
Episode 1079: Reward 117
Episode 1080: Reward 156
Episode 1081: Reward 61
Episode 1082: Reward 124
Episode 1083: Reward 136
Episode 1084: Reward 115
Episode 1085: Reward 108
Episode 1086: Reward 128
Episode 1087: Reward 142
Episode 1088: Reward 141
Episode 1089: Reward 157
Episode 1090: Reward 136
Episode 1091: Reward 107
Episode 1092: Reward 132
Episode 1093: Reward 133
Episode 1094: Reward 165
Episode 1095: Reward 115
Episode 1096: Reward 167
Episode 1097: Reward 144
Episode 1098: Reward 123
Episode 1099: Reward 200
Episode 1100: Reward 151
Episode 1101: Reward 200
Episode 1102: Reward 155
Episode 1103: Reward 198
Episode 1104: Reward 162
Episode 1105: Reward 139
Episode 1106: Reward 200
Episode 1107: Reward 136
Episode 1108: Reward 153
